219.76.13.166#HK  180ms
219.76.13.183#HK  181ms
159.138.138.87#HK  182ms
219.76.13.169#HK  182ms
154.219.104.17#HK  182ms
103.219.194.43#HK  182ms
219.76.13.167#HK  182ms
47.243.183.61#HK  182ms
103.49.62.78#HK  183ms
47.239.4.246#HK  185ms
68.64.176.135#HK  185ms
157.254.22.120#HK  186ms
143.20.204.5#HK  186ms
185.243.240.111#HK  187ms
219.76.13.180#HK  187ms
219.76.13.177#HK  187ms
38.175.192.201#HK  187ms
47.239.189.60#HK  187ms
176.98.181.71#HK  188ms
8.210.29.68#HK  188ms
47.239.231.121#HK  188ms
8.223.63.189#HK  190ms
123.254.106.203#HK  192ms
74.119.193.221#HK  192ms
2.56.91.167#HK  192ms
152.32.133.246#HK  193ms
213.159.70.18#HK  197ms
156.239.245.134#HK  197ms
45.221.113.75#HK  198ms
23.141.52.169#HK  199ms
38.190.210.250#HK  204ms
156.230.12.71#HK  214ms
103.192.179.132#HK  223ms
43.170.8.95#JP  140ms
138.2.31.37#JP  140ms
153.121.58.207#JP  140ms
45.76.54.215#JP  140ms
138.3.214.171#JP  140ms
8.216.5.125#JP  141ms
139.180.198.32#JP  143ms
140.238.50.134#JP  143ms
140.245.86.172#JP  144ms
141.147.185.63#JP  144ms
153.121.45.101#JP  144ms
172.104.97.39#JP  145ms
158.101.78.162#JP  145ms
168.138.212.80#JP  145ms
138.2.5.136#JP  145ms
64.176.36.61#JP  146ms
172.235.211.171#JP  147ms
138.2.62.8#JP  147ms
47.79.94.192#JP  147ms
149.28.21.106#JP  147ms
141.147.144.109#JP  147ms
64.176.56.68#JP  147ms
150.230.5.126#JP  147ms
64.110.104.30#JP  147ms
66.245.216.191#JP  148ms
161.33.190.243#JP  149ms
168.138.46.67#JP  149ms
64.176.54.102#JP  152ms
89.125.244.207#JP  166ms
8.222.185.236#JP  206ms
158.51.109.250#JP  207ms
8.222.193.153#JP  211ms
8.219.155.125#JP  211ms
8.219.195.31#JP  212ms
172.238.6.57#JP  1158ms
99.83.207.43#US  1ms
168.151.20.157#US  44ms
74.48.134.194#US  47ms
107.175.224.82#US  48ms
107.175.230.87#US  48ms
107.174.42.185#US  51ms
47.57.181.17#US  181ms
60.249.21.30#TW  218ms
34.21.207.212#SG  207ms
158.178.234.153#SG  209ms
