47.76.218.163:443#HK  181ms
68.64.182.212:443#HK  183ms
8.210.155.173:443#HK  184ms
8.218.36.133:9010#HK  186ms
47.242.145.136:8001#HK  187ms
155.248.181.189:443#JP  140ms
140.238.50.134:443#JP  140ms
153.121.45.101:443#JP  143ms
43.207.178.112:443#JP  146ms
47.79.145.241:4439#JP  148ms
144.126.132.39:8443#US  7ms
74.208.150.213:443#US  15ms
43.130.134.123:65002#US  16ms
50.228.203.26:443#US  40ms
154.17.230.70:443#US  42ms
165.154.226.214:27017#TW  188ms
220.128.110.108:43#TW  221ms
60.251.232.240:995#TW  244ms
114.32.9.249:16443#TW  248ms
60.248.139.106:12128#TW  251ms
129.150.48.17:443#SG  203ms
43.156.116.194:443#SG  203ms
91.192.81.154:2053#SG  203ms
143.42.66.91:443#SG  205ms
168.138.165.174:443#SG  205ms
